Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10,77.000000,77.278000,70.900002,73.949997,73.949997,2830600
2020-08-11,69.000000,72.879997,66.510002,68.449997,68.449997,4032200
2020-08-12,70.889999,71.160004,66.120003,69.110001,69.110001,3252000
2020-08-13,68.250000,71.529999,67.304001,71.000000,71.000000,2390900
2020-08-14,70.930000,70.980003,68.019997,68.639999,68.639999,1862400
2020-08-17,69.089996,71.356003,68.809998,70.260002,70.260002,1948000
2020-08-18,69.690002,70.349998,67.059998,67.879997,67.879997,1905100
2020-08-19,67.419998,67.480003,65.010002,65.599998,65.599998,2326600
2020-08-20,66.077003,70.290001,64.080002,66.269997,66.269997,2932600
2020-08-21,71.769997,76.279999,70.339996,73.019997,73.019997,6290400
2020-08-24,76.989998,77.400002,69.750000,70.849998,70.849998,3393900
2020-08-25,70.070000,70.500000,68.209999,70.489998,70.489998,1576200
2020-08-26,70.000000,70.000000,67.050003,67.900002,67.900002,1711400
2020-08-27,68.199997,68.690002,64.790001,65.589996,65.589996,1980500
2020-08-28,65.040001,65.500000,63.320000,64.000000,64.000000,1760000
2020-08-31,62.820000,63.180000,60.340000,61.250000,61.250000,2217200
2020-09-01,58.709999,60.529999,56.660000,57.810001,57.810001,3569600
2020-09-02,56.009998,63.290001,54.959999,61.990002,61.990002,3892800
2020-09-03,63.450001,63.669998,57.099998,59.279999,59.279999,2586000
2020-09-04,59.279999,59.959999,54.099998,58.570000,58.570000,1985500
2020-09-08,60.160000,61.000000,58.689999,59.830002,59.830002,2887800
2020-09-09,63.000000,63.380001,60.599998,62.320000,62.320000,3406900
2020-09-10,62.000000,62.279999,60.500000,61.200001,61.200001,1751800
2020-09-11,61.452000,65.279999,61.049999,65.129997,65.129997,2515200
2020-09-14,67.500000,69.650002,66.769997,67.480003,67.480003,3373600
2020-09-15,70.000000,70.000000,66.150002,66.919998,66.919998,3168300
2020-09-16,65.510002,67.290001,65.407997,66.040001,66.040001,2231500
2020-09-17,66.820000,68.709999,65.150002,66.779999,66.779999,2860000
2020-09-18,68.010002,68.440002,65.169998,67.000000,67.000000,2608900
2020-09-21,65.559998,66.199997,62.299999,66.120003,66.120003,2118700
2020-09-22,65.379997,67.757004,63.610001,67.050003,67.050003,1572300
2020-09-23,67.250000,67.279999,63.686001,63.830002,63.830002,1678000
2020-09-24,62.619999,63.930000,58.810001,62.830002,62.830002,2863400
2020-09-25,61.270000,66.871002,61.270000,66.690002,66.690002,1670500
2020-09-28,66.989998,67.800003,65.720001,66.500000,66.500000,1750000
2020-09-29,66.599998,67.109001,65.760002,66.860001,66.860001,847600
2020-09-30,67.400002,69.470001,67.098000,69.230003,69.230003,1746800
2020-10-01,70.000000,72.870003,69.309998,72.709999,72.709999,2371700
2020-10-02,71.849998,75.000000,71.160004,73.699997,73.699997,2327800
2020-10-05,75.699997,81.559998,75.650002,80.699997,80.699997,3750600
2020-10-06,86.839996,88.300003,83.519997,85.589996,85.589996,5702100
2020-10-07,83.320000,86.440002,80.699997,86.230003,86.230003,2354700
2020-10-08,85.830002,89.430000,85.599998,87.949997,87.949997,1826000
2020-10-09,88.980003,90.000000,87.500000,89.040001,89.040001,1462500
2020-10-12,91.000000,91.900002,87.599998,88.739998,88.739998,2573100
2020-10-13,90.080002,94.015999,89.559998,93.000000,93.000000,2527500
2020-10-14,95.418999,95.440002,85.050003,86.860001,86.860001,4180000
2020-10-15,85.650002,90.418999,85.500000,90.379997,90.379997,2029700
2020-10-16,93.599998,94.150002,91.550003,94.089996,94.089996,2792500
2020-10-19,96.230003,97.290001,92.239998,93.919998,93.919998,2800200
2020-10-20,93.919998,96.116997,91.611000,94.349998,94.349998,1872100
2020-10-21,92.750000,92.940002,85.669998,87.720001,87.720001,3384600
2020-10-22,88.989998,90.120003,85.417000,86.360001,86.360001,2205900
2020-10-23,89.605003,89.989998,87.059998,88.690002,88.690002,2079700
2020-10-26,88.220001,89.839996,80.349998,82.930000,82.930000,2879900
2020-10-27,83.000000,84.055000,80.510002,83.949997,83.949997,2222100
2020-10-28,79.889999,80.739998,75.345001,77.540001,77.540001,2566100
2020-10-29,81.489998,85.769997,79.220001,84.809998,84.809998,2512000
2020-10-30,87.010002,88.500000,83.050003,85.360001,85.360001,2253000
2020-11-02,87.903999,88.000000,83.180000,87.099998,87.099998,2139900
2020-11-03,84.910004,88.199997,84.849998,87.220001,87.220001,1082600
2020-11-04,86.510002,91.128998,86.510002,90.690002,90.690002,1701500
2020-11-05,91.330002,92.839996,89.669998,92.000000,92.000000,1459800
2020-11-06,92.000000,92.199997,90.330002,92.000000,92.000000,861300
2020-11-09,114.019997,115.000000,98.510002,104.800003,104.800003,14614900
2020-11-10,110.000000,113.400002,106.199997,112.760002,112.760002,8029100
2020-11-11,112.000000,112.500000,108.612999,109.449997,109.449997,3274100
2020-11-12,106.809998,107.128998,100.500000,101.629997,101.629997,3596500
2020-11-13,104.120003,108.199997,103.370003,106.000000,106.000000,2997500
2020-11-16,96.639999,97.000000,87.070000,91.519997,91.519997,11171600
2020-11-17,89.000000,92.000000,86.650002,86.930000,86.930000,4057400
2020-11-18,90.800003,92.459999,88.260002,90.440002,90.440002,5772600
2020-11-19,91.599998,95.089996,91.290001,94.930000,94.930000,3400100
2020-11-20,100.000000,105.330002,99.050003,104.070000,104.070000,6776800
2020-11-23,109.730003,109.980003,104.199997,106.500000,106.500000,5194200
2020-11-24,100.919998,103.430000,97.559998,101.870003,101.870003,3864000
2020-11-25,100.000000,106.059998,99.099998,104.959999,104.959999,3007400
2020-11-27,106.440002,111.199997,106.099998,109.989998,109.989998,3874600
2020-11-30,113.639999,124.910004,113.500000,124.239998,124.239998,9934800
2020-12-01,124.500000,128.130005,108.000000,114.010002,114.010002,9619800
2020-12-02,120.849998,123.589996,116.430000,121.089996,121.089996,7164700
2020-12-03,119.849998,121.800003,115.000000,118.680000,118.680000,4264600
2020-12-04,117.842003,120.750000,114.419998,120.000000,120.000000,3142600
2020-12-07,121.000000,126.379997,121.000000,125.699997,125.699997,4925300
2020-12-08,127.000000,129.899994,126.500000,128.110001,128.110001,4597500
2020-12-09,128.990005,129.050003,116.580002,122.809998,122.809998,5265200
2020-12-10,123.820000,129.949997,123.199997,129.539993,129.539993,5381300
2020-12-11,130.100006,131.000000,124.639999,127.300003,127.300003,4303700
2020-12-14,126.628998,127.000000,105.250000,108.269997,108.269997,10907900
2020-12-15,114.209999,116.260002,108.330002,111.199997,111.199997,5711800
2020-12-16,112.220001,112.849998,102.330002,105.779999,105.779999,4802600
2020-12-17,102.635002,107.589996,101.620003,106.430000,106.430000,3487800
2020-12-18,106.459999,106.769997,102.570000,104.239998,104.239998,3108200
2020-12-21,107.510002,107.970001,104.570000,106.459999,106.459999,2611000
